#Frame      Mode1    Mode2    Mode3
     178  -54.793  -96.199   -8.707
     179  -56.147  -99.118   -6.621
     180  -57.077  -92.926  -15.907
     181  -59.601  -94.606  -18.965
     182  -56.152  -85.174  -20.165
     183  -61.038  -89.986  -24.134
     184  -64.621  -86.451  -10.804
     185  -61.328  -85.334  -10.553
     186  -63.212  -87.597   -3.232
     187  -58.755  -99.476  -14.263
     188  -57.904  -87.251   -1.435
     189  -70.576  -88.237   -1.583
     190  -80.205  -81.511    0.786
     191  -81.125  -70.064   -2.846
     192  -75.162  -66.771   -4.589
     193  -84.948  -70.936   -1.072
     194  -76.791  -80.131  -19.721
     195  -61.509  -63.305  -14.419
     196  -69.348  -70.506   -3.486
     197  -65.169  -71.591    4.537
     198  -60.928  -74.944   -1.099
     199  -59.343  -74.114    0.158
     200  -65.297  -73.740    5.223
     201  -72.425  -74.363    4.630
     202  -65.369  -70.881   -4.188
     203  -53.260  -68.148    7.449
     204  -54.953  -71.218   16.149
     205  -58.000  -71.241    7.874
     206  -56.800  -73.156    9.256
     207  -48.078  -76.009    8.003
     208  -49.966  -80.948    7.695
     209  -49.871  -82.174    1.787
     210  -56.968  -87.724   -1.621
     211  -47.040  -81.589    7.117
     212  -52.711  -86.544   14.151
     213  -52.652  -99.329   15.257
     214  -53.846  -96.455   20.257
     215  -47.917 -104.040   23.894
     216  -46.287 -106.864   30.374
     217  -48.448 -114.991   32.976
     218  -47.847 -110.298   27.406
     219  -51.749 -105.407   20.958
     220  -39.636 -105.722   16.835
     221  -37.775 -110.369   10.695
     222  -40.449 -117.110   20.228
     223  -38.008 -107.478   24.173
     224  -51.565 -101.098   16.499
     225  -49.609 -110.254    9.591
     226  -43.100 -104.269   14.802
     227  -40.238 -102.718   21.890
     228  -43.480 -100.168   25.894
     229  -41.889 -101.957   17.097
     230  -45.117  -98.093   26.194
     231  -42.724  -87.786   25.198
     232  -40.048  -84.166   29.723
     233  -40.930  -82.894   28.585
     234  -42.667  -90.341   33.112
     235  -48.370  -93.555   28.992
     236  -45.476  -90.189   32.035
     237  -38.822 -102.061   26.143
     238  -47.434  -96.022   33.010
     239  -53.503  -95.601   30.303
     240  -51.157 -101.863   20.434
     241  -47.335 -100.142   18.072
     242  -42.475  -96.758    6.619
     243  -32.422  -96.570    4.526
     244  -31.244 -100.891    7.708
     245  -26.276 -113.659    0.744
     246  -30.316 -102.705    5.717
     247  -38.896  -94.650   11.894
     248  -44.941 -103.096   10.052
     249  -51.779  -97.249   22.030
     250  -47.906  -88.594   14.775
     251  -48.363  -89.208   13.241
     252  -55.080  -88.228   22.322
     253  -47.646  -89.321   14.822
     254  -49.736  -90.787    8.780
     255  -44.572  -86.296   15.307
     256  -43.796  -87.275   14.381
     257  -44.190  -84.169    4.092
     258  -46.927  -82.936   15.747
     259  -38.189  -85.311   20.486
     260  -28.277  -88.305   11.298
     261  -32.195  -79.180    8.452
     262  -40.875  -86.070    9.426
     263  -40.176  -85.863   12.442
     264  -40.459  -93.261   23.152
     265  -36.563  -83.596   13.214
     266  -32.978  -86.752   17.631
     267  -31.292  -79.588   10.215
     268  -32.471  -79.586   18.966
     269  -35.340  -74.148   15.798
     270  -35.798  -83.352   15.894
     271  -30.031  -75.966   11.922
     272  -29.368  -76.247    6.660
     273  -17.981  -77.363    7.499
     274  -22.212  -79.931    3.043
     275  -30.487  -77.290    7.516
     276  -31.766  -74.534    6.569
     277  -28.755  -77.226   -2.109
     278  -28.212  -80.290    1.049
     279  -28.075  -80.516    0.594
     280  -34.340  -82.362   -4.314
     281  -42.760  -74.699    3.699
     282  -45.978  -71.543    2.993
     283  -38.950  -71.890    7.261
     284  -49.734  -77.111    9.856
     285  -54.977  -75.833    4.589
     286  -58.220  -67.104    0.766
     287  -59.152  -61.003    5.312
     288  -51.981  -56.215   11.435
     289  -52.672  -59.893   20.604
     290  -53.053  -61.870    6.188
     291  -49.539  -64.439   15.204
     292  -49.719  -65.298    7.524
     293  -45.870  -71.534   13.435
     294  -40.437  -68.592   16.369
     295  -45.795  -63.837   14.654
     296  -38.345  -61.698   18.835
     297  -42.490  -60.580   25.294
     298  -47.234  -58.858   25.835
     299  -53.512  -60.923   27.616
     300  -44.865  -63.957   27.136
     301  -37.722  -76.252   25.850
     302  -39.463  -56.532   32.316
     303  -40.556  -56.246   28.863
     304  -37.804  -59.032   27.651
     305  -46.996  -58.765   25.137
     306  -43.707  -65.124   26.112
     307  -41.124  -63.821   25.069
     308  -44.807  -56.097   26.761
     309  -34.460  -62.721   26.349
     310  -37.708  -66.321   32.026
     311  -31.976  -64.287   29.569
     312  -30.286  -71.534   20.093
     313  -44.215  -62.692   19.712
     314  -50.085  -57.843   25.669
     315  -45.451  -54.911   24.741
     316  -42.419  -55.319   21.992
     317  -36.552  -48.911   15.904
     318  -44.533  -54.319   20.165
     319  -40.900  -57.541   18.623
     320  -40.391  -62.199   19.490
     321  -33.094  -53.307   16.494
     322  -38.938  -58.422   16.490
     323  -38.512  -61.538   29.122
     324  -41.182  -64.376   16.156
     325  -47.226  -72.320   16.536
     326  -51.642  -69.828   23.690
     327  -45.565  -65.127   21.424
     328  -51.903  -66.622   27.331
     329  -64.912  -63.280   25.761
     330  -56.483  -69.063   25.966
     331  -50.959  -64.470   24.894
     332  -53.566  -67.089   27.261
     333  -43.646  -70.677   28.579
     334  -39.914  -75.713   20.183
     335  -53.445  -71.005   31.111
     336  -50.796  -69.290   37.010
     337  -51.743  -63.948   36.563
     338  -56.267  -68.607   30.136
     339  -63.096  -69.608   23.648
     340  -64.517  -72.065   34.626
     341  -51.108  -85.318   32.628
     342  -48.375  -88.296   34.431
     343  -50.294  -87.884   30.906
     344  -46.464  -69.731   28.641
     345  -42.707  -70.585   16.234
     346  -37.505  -66.450    7.364
     347  -46.243  -64.458   13.227
